Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Jordan,JOR,Asia,450915.0,664095.0,1.9,3.21,Constitutional monarchy,37517.0,2925780.0,111.0,181.61,6472000.0,35637.21,0.0,49.0,51.0,0.0,14.2
Japan,JPN,Asia,2586.0,2464.0,1.02,0.0322,Constitutional monarchy,4123258.0,2437169.0,1668.0,873.17,127380000.0,145882.85,0.0,51.3,48.7,0.0,16.0
Kazakhstan,KAZ,Asia,4406.0,701.0,11.0,0.602,Republic,184361.0,3476233.0,250.0,15.44,16197000.0,1049154.96,0.0,51.9,48.1,0.0,5.3
Kenya,KEN,Africa,402905.0,553892.0,3.6,27.32,Republic,63398.0,955452.0,630.0,181.64,40863000.0,224962.33,1.0,50.1,49.9,0.0,43.4
Kyrgyzstan,KGZ,Asia,2458.0,349.0,7.9,1.12,Republic,460742.224359,226960.0,533.0,72.42,5550000.0,76641.25,0.0,50.7,49.3,0.0,33.7
Cambodia,KHM,Asia,129.0,69.0,3.2,1.92,Constitutional monarchy,18050.0,75556.0,1904.0,191.64,13395682.0,69899.91,0.0,51.2,48.8,0.0,20.0
South Korea,KOR,Asia,358.0,1425.0,2.3,0.612,Republic,1377873.0,1230000.0,1274.0,1309.02,49773145.0,38023.32,0.0,50.3,49.7,0.0,16.0
Kuwait,KWT,Asia,184.0,731.0,1.1,1.37,Constitutional monarchy,112812.0,2920000.0,121.0,443.44,3051000.0,6880.34,0.0,40.2,59.8,0.0,29.4510638298
Laos,LAO,Asia,68206.0,103635.0,9.15748091603,4.47,Republic,460742.224359,21801.0,1834.0,70.39,6436000.0,91428.95,0.0,49.9453416149,50.0546583851,0.0,22.0
Lebanon,LBN,Asia,8063.0,1070844.0,0.57,4.05,Republic,47103.0,1440562.0,661.0,1059.65,4255000.0,4015.46,0.0,49.2,50.8,0.0,28.0
Liberia,LBR,Africa,24743.0,36490.0,9.15748091603,95.41,Republic,2053.0,225484.0,2391.0,80.85,3476608.0,43000.18,0.0,49.6,50.4,0.0,80.0
Libya,LBY,Africa,7923.0,9295.0,2.2,5.03,n/a,29153.0,755974.0,56.0,9.64,6546000.0,679361.91,0.0,50.0,50.0,1.0,29.4510638298
Sri Lanka,LKA,Asia,223.0,776.0,7.4,4.94,Republic,82316.0,324977.0,1712.0,805.7,20410000.0,25332.15,0.0,51.1,48.9,0.0,8.9
Lesotho,LSO,Africa,68206.0,26.0,37.0,29.87,Constitutional monarchy,2181.0,3095.0,788.0,177.81,2084000.0,11720.13,0.0,50.7,49.3,0.0,49.0
Lithuania,LTU,Europe,803.0,1064.0,9.0,0.456,Republic,41244.0,136036.0,656.0,132.25,3329227.0,25173.85,0.0,54.0,46.0,0.0,4.0
Luxembourg,LUX,Europe,3254.0,1276.0,1.45,3.77,Constitutional monarchy,57794.0,249325.0,934.0,502.98,502207.0,998.46,0.0,50.2,49.8,0.0,29.4510638298
Latvia,LVA,Europe,68.0,188.0,4.8,0.964,Republic,27035.0,263126.0,641.0,89.73,2237800.0,24937.94,0.0,54.3,45.7,0.0,29.4510638298
Morocco,MAR,Africa,792.0,3884.0,0.4,2.68,Constitutional monarchy,100360.0,50771.0,346.0,184.97,31892000.0,172413.85,0.0,50.6,49.4,0.0,15.0
Moldova,MDA,Europe,68206.0,404.0,6.7,3.92,Republic,6551.0,142904.0,450.0,272.74,3563800.0,13066.85,0.0,49.9453416149,50.0546583851,0.0,21.9
