Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Montenegro,MNE,Europe,16364.0,1762.0,9.15748091603,1.0,Republic,3993.0,82541.0,1120.73006135,94.0,85026000.0,905446.0,0.0,50.6,49.4,0.0,6.6
Mongolia,MNG,Asia,12.0,6.0,7.9,1.87,Constitutional monarchy,11758.0,17225.0,241.0,2852.0,37429.0,13.0,0.0,50.5,49.5,0.0,29.8
Mozambique,MOZ,Africa,4077.0,5609.0,5.0,27.44,Republic,14689.0,218881.0,1032.0,53.0,778716.0,14824.0,0.0,51.1,48.9,0.0,52.0
Mauritania,MRT,Africa,26717.0,77380.0,9.15748091603,44.6,Republic,5442.0,90206.0,92.0,0.08,55984.0,836297.0,0.0,49.6,50.4,0.0,40.0
Malawi,MWI,Africa,5740.0,9013.0,9.15748091603,4.3,Republic,6565.0,206578.0,1181.0,264.0,11163934.0,42427.0,1.0,49.9,50.1,0.0,53.0
Malaysia,MYS,Asia,81516.0,94111.0,2.3,3.63,Republic,296218.0,3276880.0,2875.0,207.0,54363426.0,261228.0,0.0,51.5,48.5,0.0,3.8
Namibia,NAM,Africa,7254.0,1725.0,6.0,19.24,Republic,11546.0,51448.0,285.0,3248.0,66449.0,20.0,0.0,51.5,48.5,0.0,28.7
New Caledonia,NCL,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,548.838806151,33117866.4177,272878.705267,0.0,49.4,50.6,0.0,29.8166666667
Niger,NER,Africa,314.0,124712.0,9.15748091603,61.12,Constitutional monarchy,7143.0,132294.0,151.0,21.8,143975923.0,6601668.0,1.0,49.6,50.4,0.0,63.0
Nigeria,NGA,Africa,8747.0,1372.0,1.3,69.68,Absolute monarchy,481066.0,1233592.0,1150.0,430.0,1815606.0,4212.0,0.0,49.1,50.9,0.0,70.0
Nicaragua,NIC,North America,64.0,325.0,13.0,9.24,Republic,12693.0,41482.0,2391.0,111.0,52981991.0,471359.0,0.0,50.5,49.5,0.0,42.5
Netherlands,NLD,Europe,74961.0,88493.0,0.93,0.0465,Republic,752547.0,1979486.0,778.0,796.814,169995225.0,68401.8,0.0,50.4,49.6,0.0,9.1
Norway,NOR,Europe,40260.0,50317.0,0.6,0.626,Republic,388315.0,741813.0,1414.0,30.0,14528662.0,482077.0,0.0,49.9,50.1,0.0,29.8166666667
Nepal,NPL,Asia,89808.0,32659.0,2.2,2.97,Constitutional monarchy,20881.0,971247.0,1500.0,370.49,1379092715.0,3722342.0,0.0,51.6,48.4,0.0,25.2
New Zealand,NZL,Oceania,2307.0,1273.0,1.3,0.587,Republic,173754.0,1132736.0,1732.0,115.2425,44414488.0,369134.0,0.0,50.9,49.1,0.0,29.8166666667
Oman,OMN,Asia,78.0,244.0,0.6,2.13,Republic,70255.0,1112032.0,125.0,9.45,784894.0,83012.0,0.0,36.4,63.6,0.0,29.8166666667
Pakistan,PAK,Asia,1900621.0,1561152.0,6.8,29.98,Republic,269971.0,4080766.0,494.0,510.0,24213510.0,47399.0,0.0,48.6,51.4,0.0,22.3
Panama,PAN,North America,17073.0,17264.0,13.0,9.14,Republic,52132.0,158417.0,2692.0,101.0,25500100.0,249347.0,0.0,49.5,50.5,0.0,26.0
Peru,PER,South America,1146.0,1429.0,3.2,4.34,Republic,192084.0,104919.0,1738.0,44.0,30894000.0,710251.0,0.0,49.9,50.1,0.0,25.8
Philippines,PHL,Asia,243.0,239.0,6.4,15.99,Republic,291965.0,213150.0,2348.0,725.0,92700000.0,127882.0,0.0,49.9,50.1,0.0,26.5
Papua New Guinea,PNG,Oceania,9698.0,9503.0,9.15748091603,60.02,Republic,16929.0,25782.0,3142.0,27.7,5240000.0,189657.0,0.0,49.0,51.0,0.0,37.0
Poland,POL,Europe,15555.0,14012.0,1.21,2.05,Absolute monarchy,474783.0,619403.0,600.0,272.0,3559500.0,13067.0,0.0,51.7,48.3,0.0,10.6
Puerto Rico,PRI,,67165.3910256,101834.734177,9.15748091603,12.92,,103135.0,1416737.33537,2054.0,548.838806151,33117866.4177,272878.705267,0.0,51.9,48.1,0.0,29.8166666667
North Korea,PRK,Asia,67165.3910256,0.0,9.15748091603,15.530863522,Constitutional monarchy,452175.371069,46813.0,1054.0,381.0,106461.0,280.0,0.0,51.1,48.9,0.0,29.8166666667
Portugal,PRT,Europe,384.0,634.0,1.17,0.428,Republic,198931.0,837257.0,854.0,264.0,78741053.0,302535.0,0.0,51.6,48.4,0.0,18.0
Paraguay,PRY,South America,107.0,167.0,12.0,21.2,Republic,27623.0,185776.0,1130.0,35.0,4183841.0,119499.0,0.0,49.6,50.4,0.0,34.7
Qatar,QAT,Asia,51.0,117.0,1.0,3.39,Republic,166908.0,1600955.0,74.0,365.0,1411.0,4.0,0.0,23.5,76.5,0.0,29.8166666667
